Producto,Referencia,Código de Barra,Lote,Fecha de Caducidad,Cantidad,Precio de Compra
PA—AL HUMEDA DODDY C/ ALOE VERA X 100 UNIDADES,7840508032942,7840508032942,2220225,2027-02-02 03:00:00,3.0,1.51
PA—AL HUMEDA DODDY C/ ALOE VERA X 50 UNIDAD,7840508032911,7840508032911,2891125,2027-11-11 03:00:00,5.0,0.92
PILA CR 1216 REDONDO,6970905250371,6970905250371,,,4.0,0.18
PRESTOBARBA BIC COMFORT PIEL NORMAL 2CT,70330712379,70330712379,9309857,,6.0,0.58
PRESTOBARBA BIC COMFORT PIEL SENSIBLE VERDE 2CT,70330709485,70330709485,9309959,,6.0,0.58
PRESTOBARBA BIC SENSITIVE X UNIDAD,70330703629,70330703629,9309869,,6.0,0.22
RESPIRAN SUSP. AER. FCO. X 10 ML. X 200,7841134001289,7841134001289,008X099A,,3.0,4.34
RHEUMAZIN FORTE COMP. REC. GAST. CAJA X 20,7840199075181,7840199075181,2412640,2026-06-06 03:00:00,20.0,1.5
RICA C 2000 MG. POLVO CAJA X 30 SOB. X 7 G. C/U.,721892,721892,4090002,2027-09-09 03:00:00,30.0,0.46
RIFAMICINA 15% CQF SOL. SPRAY CAJA FCO. X RIFAMICINA SPRAY 50 ML,7840213030080,7840213030080,252777,2027-07-07 03:00:00,5.0,2.27
ROACCUTAN 20 MG 30 CAPS,7613326040129,7613326040129,,,2.0,44.63
ROWATINEX PERLAS FCO. X 50,5390387101045,5390387101045,9196C,2028-03-03 03:00:00,10.0,6.23
SALONPAS GRANDE X 4 UNIDADES,7896227800812,7896227800812,350906,2028-09-09 03:00:00,20.0,3.57
SALONPAS PARCHE X 4 UNIDADES CHICO,7896227800799,7896227800799,850201,2027-02-02 03:00:00,40.0,1.71
SELENE TEST DE EMBARAZO,7840199044538,7840199044538,HCG24NS,2028-01-01 03:00:00,5.0,2.63
"SEMAGLIX 1,34 MG SOL INY 1,5 ML",47234,47234,252451,2027-07-07 03:00:00,5.0,41.76
SEMAGLIX PEN AUTOIMY,49928,49928,251559,2027-04-04 03:00:00,5.0,91.88
SULFACARBON COMP X 10,7840199116327,7840199116327,2412305,2029-08-08 03:00:00,10.0,0.71
SUNDOW MELATONIN 3MG 120MG,30768486785,30768486785,,,1.0,10.3
T.G 15 MG SOL. INY X 4 VIALES X 0.5 ML MINI INDUFAR,50987,50987,63474,2027-06-06 03:00:00,316.0,78.75
T.G 15 MG X 4 AMPOLLA VIAL MINI,50956,50956,63474,2027-06-06 03:00:00,26.0,108.91
TESALAR COL. X 10 ML.,7840199095899,7840199095899,2516926,2027-09-09 03:00:00,3.0,1.43
TIRZEC 10 MG SOL INY C/ 4 JERINGA,50486,50486,254129,2027-10-10 03:00:00,5.0,66.83
TIRZEC 15MG VIAL 2ML,50852,50852,260441,2028-01-01 03:00:00,400.0,77.24
TIRZEC 5MG SOL INY + 4 JERINGA,50464,50464,253465,2027-09-09 03:00:00,5.0,69.27
"TIRZEC 7,5 MG SOL INY C/ JERINGA",50485,50485,252729,2027-07-07 03:00:00,5.0,80.06
TRIO VAL COMP. REC. CAJA X 10,7800060015661,7800060015661,125144,2028-11-11 03:00:00,2.0,4.62
TRIO VAL DIA Y NOCHE COMP. REC. CAJA X 20,7800060110496,7800060110496,60495,2029-03-03 03:00:00,25.0,1.49
"VENDA CREPON CYSNE 10 CM X 4,5 CM",5984,5984,,,5.0,0.74
VENDA ELASTICA ITAL. 10 CM X 4.5 M,710266,710266,,,5.0,0.91
VINIL COMP. G.P. CAJA X 20,7840653002050,7840653002050,,,5.0,2.43
KOTEX ESENCIAL CON ALAS X 8 UNIDADES,,7794626014932,P11,2027-05-23 03:00:00,4.0,0.74
PROTECTORES DIARIOS KOTEX ESENCIAL 20 UN,,7794626014956,P10,2027-03-04 03:00:00,3.0,0.8
AZIDE VIT. D3 100.000 UI CJ X 1 CAPS. BL ,7840199115986,7840199115986,2516394,2026-01-20 09:00:00,2.0,5.58
CORTAGRIP DIA Y NOCHE COMP. REV.,CORTA GRIP DIA Y NOCHE,7840653008588,52040,2026-04-30 03:00:00,1.0,0.61
