Producto,Referencia,Código de Barra,Lote,Fecha de Caducidad,Cantidad,Precio de Compra
ALCOHOL ETILICO 70 120ML,ALCOHOL RECTIFICADO,7840849015178,2511S120,2027-11-30 09:00:00,5.0,1.42
ALGODOL HIDROFILO 1OOGRS,ALGODON,7841374000103,0001,2028-11-30 03:00:00,5.0,0.75
ALGODON HIDRIFILO 25GR,ALGODON,7840494001359,111125,2030-11-30 03:00:00,5.0,0.3
ALLWAYS WHEY PROTEIN 900G,WHEY PROTEIN,7908407007086,25101,2026-07-30 03:00:00,1.0,32.99
ALWAYS PROTECTOR DIARIOS C/15,,7501007499758,,,3.0,1.36
ALWAYS SECA SUPER PROTECCION,,7500435127226,5045229942,2027-02-01 03:00:00,4.0,1.08
ANTIACID COMP MASTICABLE X 12,ANTIACID,7840315225797,50022,2027-01-30 03:00:00,2.0,2.16
APELSIN VIT-C 1GR EFERCENTE TUBO C/20,APELSIN VIT-C 1GR,7792219000027,23F514A,2026-05-30 03:00:00,3.0,6.03
ENALAPRIL 20MG COMP C/100,ENALAPRIL 20MG,7840653006928,58558,,10.0,0.86
ENALAPRIL 10MG COMP C/100,ENALAPRIL 10MG,7840653006911,57145,2027-01-30 03:00:00,10.0,0.61
AVIR 400MG C/ 20 COMP,ACICLOVIR,7840199087795,2515997,2027-01-30 03:00:00,3.0,5.26
BAND-AID CURITA CAJA CON 30 VARIADOS,BAND-AID 30 VARIADOS,7891010247263,060923,2028-01-20 09:00:00,1.0,1.86
BAND-AID CURITA CAJA CON 40,BAND-AID 40,7891010504755,250622,2026-01-20 09:00:00,3.0,2.24
BIOGRAMON TE CALIENTE DIA SOBRE,BIOGRAMON TE,7840315201036,37539,2026-04-30 03:00:00,9.0,0.23
BLACK GARLIC CAPSULAS 20,BLACK GARLIC,7640162325493,0440052,2026-07-01 03:00:00,1.0,9.61
BUCALEX CHERRY LIGHT X10 CARAMELOS SIN GLUTEN,BUCALEX LIGHT,7840274606774,1112507,2027-07-30 03:00:00,5.0,1.16
