Producto,Referencia,Código de Barra,Lote,Fecha de Caducidad,Cantidad,Precio de Compra
BUCALEX LIGHT MENTA CAJA CON 10,BUCALEX MENTA,7840274606743,1542508,2027-08-30 03:00:00,5.0,1.16
CALMINA X 40 COMP,CALMINA NATURAL,7840315225131,49431,2026-09-30 03:00:00,4.0,2.06
CEFALGYN 4 COMPRIMIDOS,CEFALGYN,7841106003914,06027625,2027-06-20 09:00:00,8.0,0.78
Clinomin Anovulatorio - Cont.1ampolla Solución Inyectable,,7840653000742,60505,2027-07-01 03:00:00,5.0,1.42
COLGATE CLASSIC CLEAN MEDIO X 1,CEPILLO,7891024184608,,,3.0,1.69
COLGATE ESSENCIAL CLEAN MACIA SUAVE X 1,CEPILLO,7891024024386,,,3.0,0.8
COLGATE EXTRA CLEAN MEDIO X 2,CEPILLO,7702010630422,,,2.0,2.49
COLGATE HILO DENTAL MENTA 50 M. UNID.,,7891024183021,,,1.0,2.76
COLGATE PASTA DENTAL X 90 GR,PASTA DENTAL,7891024134702,,,5.0,0.9
COLGATE SLIM SOFT X 2,CEPILLO,7591083017793,,,3.0,6.53
COLGATE TOTAL PREVENCION ACTIVA X 50 GR.,PASTA DENTAL,7509546702728,,,5.0,0.88
COLGATE TRIPLA ACAO X 90 GR,PASTA DENTAL,7891024132005,,,5.0,1.03
COLGATE TRIPLE ACCION MEDIA X 2,CEPILLO,7702010631207,,,3.0,2.96
CONTEX 500MG C/12 COMP,AMOXICILINA,7840653001466,54372,2027-07-01 03:00:00,3.0,3.42
CONTROL LUB GEL ALOE 75ML,LUB GEL ALOE,8058664168224,24093009,2026-08-01 03:00:00,1.0,5.4
CONTROL LUB GEL CHOCOLATE 75ML,LUB GEL CHOCO,8058664168255,24102084-1,2026-12-20 09:00:00,2.0,5.4
CONTROL LUB GEL NATURE 75ML,LUB GEL NATURE,8058664168217,24103013,2026-10-30 03:00:00,1.0,5.4
CONTROL PRESERVATIVO CHOCOLATE CAJA POR 3,CONTROL CHOCO,8852961021752,40928085C2,2029-08-30 03:00:00,1.0,1.07
CONTROL PRESERVATIVO EXTRA LUBE CAJA POR 3,CONTROL EXTRA LUB,8411134102799,31212096C,2028-11-30 03:00:00,1.0,1.0
CONTROL PRESERVATIVO FINISSIMO CAJ POR 3,CONTROL FINISSIMO,8411134114525,50312096Y,2030-02-28 03:00:00,3.0,1.07
CONTROL PRESERVATIVO HOT PASSION CAJA POR 3,CONTROL HOT,8411134134479,M2248411,2027-11-30 03:00:00,2.0,0.85
CONTROL PRESERVATIVO ICE FEEL CAJA POR 3,CONTROL ICE,8852961021875,40928095C5,2029-08-30 03:00:00,3.0,1.07
CONTROL PRESERVATIVO NATURE CAJA POR 3,CONTROL NATURE,8411134000965,50312106B,2030-02-01 09:00:00,3.0,1.07
CONTROL PRESERVATIVO RETARD CAJA POR 3,CONTROL RETARD,8411134000989,50409010P,2029-04-01 09:00:00,4.0,1.21
CONTROL PRESERVATIVO STRAWBERRY CAJA POR 3,CONTROL STRAWBERRY,8852961022926,40128105C7,2028-12-30 03:00:00,3.0,1.0
CORTAGRIP TE NOCHE SOBRES POLVO,CORTA GRIP,7840653009363,54584,2026-08-01 09:00:00,14.0,0.28
CREMA CBD FORTE 400MG /50G,CBD FORTE 50G,7840199115429,2517287,2027-09-30 03:00:00,4.0,6.4
CREMA CBD FORTE 400MG /90G,CBD FORTE 90G,7840199115733,13179,2026-10-01 09:00:00,2.0,11.41
CREMER CURITAS CAJA CON 10,CREMER CURITAS,7891800341997,230190525L,2028-12-30 03:00:00,6.0,0.5
DESNALER GOTAS 30ML,DESNALER,7840036104197,01157,2027-04-01 09:00:00,2.0,1.77
DORMIDINA 10MG X 30 COMP,DORMIDINA,7841134019154,251493,2027-09-30 03:00:00,2.0,5.2
DOVE ORIGINAL ANTI TRANSPIRANTE SPRAY 250ML,DOVE SPRAY 250ML,7891150081239,TMG182349705,2028-07-01 09:00:00,3.0,2.91
DR SELBY GOTAS NASAL 20ML,DR SELBY GOTAS,7730188701019,4747,2029-09-30 03:00:00,2.0,1.99
DULCITAN EDULCORANTE DE MESA 100ML,DULCITAN 100ML,7840127000186,02925,2028-03-06 09:00:00,3.0,1.15
DULCITAN EDULCORANTE DE MESA 250ML,DULCITAN 250ML,7840127000759,018/25,2028-02-28 03:00:00,3.0,2.01
DULCITAN EDULCORANTE DE MESA 500ML,DULCITAN 500ML,7840127002029,009/25,2028-02-28 09:00:00,3.0,3.37
DURACELL AA 1.5 V PILA PALITO LR6 X 1,PILA,41333016634,,,5.0,0.62
DURACELL AAA 1.5 V PILA PALITO,PILA,41333428482,,,12.0,0.62
DURACELL PILA BOTON X 1 2025,PILA,41333030104,,,5.0,1.05
DURACELL PILA BOTON X 1 C2016,PILA,41333038889,,,5.0,0.92
EVATEST EASY CAJA X 1 - TEST DE EMBARAZO,,7841721000350,HCG28080044,2027-07-01 09:00:00,5.0,3.17
GOTAS CBD 50 50ML,GOTAS CBD50,7840199088334,2412916,2026-09-30 03:00:00,3.0,41.51
8925,,710243,,,1.0,3.99
HECODULC EDULCORANTE DE MESA 250ML,HECODULC 250ML,7840085000372,24093,2027-02-28 03:00:00,2.0,4.5
HECODULC EDULCORANTE DE MESA 30ML,HECODULC 30ML,7840085000310,24180,2027-04-30 03:00:00,2.0,0.87
HEXACOL CREMA ENVASE X 20GR,,7840653001718,58940,2028-04-01 09:00:00,3.0,2.49
HEXODERM FORTE CREMA 20MG,CLOBETAZOL PROPIONATO,7841134000725,25428,2027-08-30 03:00:00,2.0,3.52
HEXODERM MICONAZOL CREMA 20G,BETAMETASONA + MICONAZOL,7841134000732,25143,2027-03-30 03:00:00,3.0,2.55
HEY GUMMIES MELATONINA 5MG,HEY GUMMIES,7848990016358,07-5802-25,2027-07-30 03:00:00,1.0,10.24
HILO DENTAL ANTICARIES x2 COLGATE 50m,,7891024183120,,,1.0,2.76
HILO DENTAL FLOUR-MENTA COLGATE 25m,,7891024183083,,,1.0,3.05
Hilo Dental Natural Extracts Carbón Colgate - Cont.25mts,,7509546671536,,,1.0,2.62
JPAN PILA BOTON 3V CR1632,PILA,6998818016327,,,5.0,0.42
KENACIN LOCION CAPILAR 5% SPRAY 50 ML,,7840036104739,01800,2027-07-01 09:00:00,3.0,3.52
KETO-ODONTOL 20MG CAJA C/10COMP,KETOROLAC 20MG,7840653002418,57645,2028-02-28 03:00:00,1.0,2.63
KITADOL FLEX PARCHES X5,PARCHE,7840199088099,120124004,2027-11-30 03:00:00,5.0,2.68
KOLYNOS PASTA DENTAL X 50G.,PASTA DENTAL,7891528020013,,,5.0,0.55
KOTEX PURO Y NATURAL TOA ULTRAFINA 10 UNI,,7794626014819,P11,2026-10-24 09:00:00,5.0,1.32
LAGRIMOL DEXTRAN 70 10ML,,7840653007659,55465,2026-09-30 03:00:00,1.0,3.55
LANDERFIT AMINO REVOLUTION 480G,AMINO REVOLUTION,612590415982,2190124,2027-01-30 03:00:00,1.0,25.24
LANDERFIT BCAA REVOLUTION 405G,BCAA REVOLUTION,612590416392,5809333,2026-08-01 09:00:00,1.0,27.08
LANDERFIT PREMIUM WHEY VAINILLA 936G,PREMIUN WHAY,612590416668,230424,2027-04-30 03:00:00,1.0,34.23
LASCAVIT 10.000 INYECTABLE 2 AMP,LASCAVIT 10.000,7840199005133,2515227,2027-04-30 03:00:00,5.0,1.79
MAXIVIT VIT C Y ZINC EFERVECENTE TUBO C/20,MAXIVIT VIT C,7840213263839,234488,2027-01-01 09:00:00,3.0,5.55
MESIGYNA INYECTABLE 1 AMP,ANTICONCEPTIVO,7501303484267,XB30V2R,2028-11-30 03:00:00,5.0,3.48
MIRACLE CRAMELOS X 10 UNIDADES,MIRACLE CARAMELO,7842228000454,25088,2027-06-01 09:00:00,3.0,1.49
NAFAZOLINA NORMAL 30ML,NAFAZOLINA,7840036001267,01923,2027-08-01 09:00:00,2.0,1.85
NIVEA ANTI TRANSPIRANTE VIOLET SENSE 150ML,NIVEA SPRAY 150ML,4005808231065,32820733,2026-07-30 03:00:00,2.0,2.04
NOCAND 3 PLUS CREMA 10GR,MICONACOL+BETAMETAZONA+GENTAMICINA,7840036103213,20598,2026-07-30 03:00:00,3.0,1.06
NUTREX BCAA 6000 231GR,BCAA 6000,859400007726,5809333,2026-08-30 03:00:00,1.0,18.71
NUTREX CLA 1000 90CAPSULAS,CLA 1000,853237000189,24H290,2026-08-30 03:00:00,1.0,14.8
NUTREX LIPO6 DIURETIC 80CAPSULAS,LIPO6,850046504778,2308024,2026-12-30 03:00:00,1.0,15.63
OIDOL GOTAS OTICA 10ML,OIDOL 10ML,7840199026916,2515021,2027-04-30 03:00:00,5.0,1.2
OPTIMUS NUTRITION AMINO ENERGY CITRUS 285G,AMINO ENERGY,748927069747,0001284193,2027-02-18 09:00:00,1.0,23.02
OPTIMUS NUTRITION AMINO ENERGY GRAPE 285G,AMINO ENERGY,748927026658,0001291203,2027-03-27 09:00:00,1.0,23.02
ORAL-B ADVANCED CEPILLO SUAVE X 2,CEPILLO,7500435170963,,,2.0,5.55
ORAL-B SENSITIVE CEPILLO SUAVE MACIA X 2,CEPILLO,7500435210430,,,1.0,3.77
OTOCALMIN OTICO 10ML,OTOCALMIN,7840213029763,2443,2026-11-01 09:00:00,3.0,1.48
PAIRDEER LITHIUM PILA BOTON 3V,PILA,6911334375457,,,5.0,0.9
PANTERA LUBRICANTES FRUTILLA HOT 50ML,PANTERA LUB,7840465000312,240232,2027-01-30 03:00:00,2.0,3.1
PANTERA PRESERVATIVO BANANA CAJA POR 3,PANTERA BANANA,7840465000220,YB495501,2028-01-30 03:00:00,8.0,0.65
PANTERA PRESERVATIVO CHOCOLATE CAJA POR 3,PANTERA PRESERV.,7840465000169,BC465001,2026-10-01 09:00:00,3.0,0.65
PANTERA PRESERVATIVO FRUTILLA CAJA POR 3,PANTERA FRUTILLA,7840465000145,RS495501,2028-01-30 03:00:00,7.0,0.65
PANTERA PRESERVATIVO RETARDANTE CAJA POR3,PANTERA RETARD,7840465000107,CN490901,2027-09-30 03:00:00,7.0,0.65
PANTERA PRESERVATIVO TUTTI FRUTI CAJA POR 3,PANTERA PRESERV.,7840465000206,PT512901,2028-04-30 03:00:00,4.0,0.65
PONDERA20MG PAROXETINA COMPX30,,7891317021610,114865,2027-08-30 03:00:00,3.0,10.73
PRAMIL 36 HORAS HONEY SUSP CAJA X 5 AMP,PRAMIL MIEL,7840213268056,251839,2027-05-30 03:00:00,10.0,2.78
PRAMIL COMP. REC. CAJA X 20 50MG,PRAMIL,7840213029879,233171,2026-07-01 09:00:00,4.0,6.79
PRODENT BIOTIC 500MG CAJA C/8 COMP,PRODENT BIOTIC,7840199069241,2516720,2028-08-30 03:00:00,5.0,1.85
PROTECTOR DIARIO FEMENINO KOTEX 20UNID,,7793620003546,P10,2026-10-20 09:00:00,3.0,1.41
PROTECTOR DIARIO KOTEX LARGO CTRL COLOR 20UN,,7794626011405,P1027,2027-04-01 09:00:00,3.0,1.43
RECUPERAL NUTRICION X30 CAPS,RECUPERAL NUTRICION,7841141001913,756143,2026-11-01 09:00:00,1.0,8.43
ROWACHOL PERLAS FCOO X50,,5390387102042,8964C,2029-04-30 03:00:00,5.0,6.0
SELENE INYECTABLE 1 AMP,SELENE INYEC,7840199100265,2309331,2026-11-30 03:00:00,5.0,1.49
SEMAGLIX SEMAGLUTIDA 3ML CON 8 JERINGA,SEMAGLIX 3ML,7840213269268,252451,2027-07-30 03:00:00,5.0,63.15
UNESIA CREMA UNGUENTO,BIFONAZOL,650240011351,147264,2027-08-30 03:00:00,1.0,5.27
VITAMINA C SOBRES 5G,VITAMINA C,7840653007963,61321,2027-09-30 03:00:00,30.0,0.29
YERON MAX X 4COMP,YERON MAX,7841106003907,06028925,2027-06-01 09:00:00,5.0,1.14
AASÆ125 COMP. CAJA X 30,AAS125,7840213027400,251791,2027-05-27 03:00:00,5.0,1.52
ANALER COMP. CAJA X 100,ANALER,7840036005227,01464,2028-06-01 09:00:00,10.0,0.74
ANGRIPAS PLUS CAPS. EXHIB. X 25 BLIST. X 4,ANGRIPAS,709278,1170V,2027-05-01 09:00:00,5.0,0.49
ASPIRINETAS COMP. CAJA X 98,ASPIRINETAS,7793640216438,ARLJU2,2027-02-01 09:00:00,5.0,0.47
BIOGRAMON D. Y N. COMP. REC. CAJA X 80 D. + 40 N.,BIOGRAMON DIA Y NOCE,7840315122423,49C009,2026-07-01 09:00:00,5.0,1.0
BUCALEX CHERRY CARAMELOS CAJA X 10,BUCALEX CHERRY,7840274001869,7752508,2027-08-30 03:00:00,6.0,1.16
BUCALEX EUCALIPTO CARAMELOS CAJA X 10,BUCALEX EUCALIPTO,7840274001852,8452507,2027-07-01 09:00:00,5.0,1.16
BUCALEX MENTA CARAMELOS CAJA X 10,BUCALEX MENTA,7840274601793,32972411,2026-11-30 03:00:00,6.0,1.16
BUCALEX MIEL CARAMELOS CAJA X 10,BUCALEX MIEL,7840274001883,14212410,2026-10-30 03:00:00,6.0,1.16
CALMINA RELAX COMP. REC. CAJA X 40,CALMINA RELAX,7840315225674,49207,2026-05-30 03:00:00,2.0,4.77
DOLANET COMP.CAJA X 24 BLISTER X 10 X UNIDAD,DOLANET DIPIRONA,7840315113209,16428,2026-08-30 03:00:00,5.0,0.5
DOLO REUMIN GRAG. CAJA X 12 X UNIDAD,DOLO REUMIN,7841106000265,04018625,2027-04-01 09:00:00,6.0,2.56
ERGO DOLANET COMP. CAJA X 20 BLISTER X 10 X UNIDAD,ERGO DOLANET,7840315113216,50447,2027-10-01 09:00:00,5.0,0.83
ETIDOL PLUS CAPS. BLAN. CAJA X 10,ETIDOL PLUS,7841134010564,010624,2026-02-27 03:00:00,2.0,1.59
LANDERFIT FIBER ORANGE 330G,FIBER,612590416682,1310124,2027-01-27 03:00:00,1.0,21.21
LANDERFIT HYDRO DEFINITION VAINILLA 957G,HYDRO DEFINITION,611355572038,120424,2026-04-27 03:00:00,1.0,48.94
LANDERFIT HYDROLYZED COLLAGEN ORANGE 405G,HYDROLYZED,612590415883,1880224,2027-02-28 03:00:00,1.0,27.73
LEVOMIN GESIC COMP. REC. CAJA X 20,LEVOMIN GESIC,7840199080390,2414059,2027-08-30 03:00:00,2.0,2.52
MENTOLINA MAX CARAMELOS CAJA X 9,MENTOLINA,7840036103404,0007A,2026-05-30 03:00:00,2.0,0.57
MENTOVICK TE CALIENTE GRANULADO EXHIB. X 10 SOB. X 3 G,MENTOVICK TE,7840653006065,46675,2026-08-30 03:00:00,10.0,0.25
SUNDOW MELATONIN 5MG 90 COMP,MELATONINA,30768157456,4261UM0702,2026-04-27 03:00:00,1.0,9.92
TAPA BOCA OLIMED BRASIL,,608488,,,50.0,0.04
YERON COMP. 25 TIRA X 4 COMP. X TIRA,YERON 4X1,7841106000821,11049224,2026-11-30 03:00:00,5.0,0.56
ZATIFEN GRIP CAPS. BLAN. EXHIB. BLIST. X 5,ZATIFEN GRIP,723762,69724,2026-09-30 03:00:00,4.0,1.38
ZATIFEN GRIP DIA Y NOCHE CAPS. BLAN. CAJA X 20,ZATIFEN DIA Y NOCHE,7841134015385,69724,2026-09-30 03:00:00,5.0,1.38
